energy_eV,value
1.971132,0.052000
1.984792,0.052000
1.998643,0.052000
2.012688,0.052000
2.026932,0.052000
2.041379,0.052000
2.056034,0.052000
2.070901,0.052000
2.085984,0.052000
2.101288,0.052000
2.116815,0.052000
2.132577,0.052000
2.148576,0.052000
2.164816,0.052000
2.181303,0.055000
2.198044,0.055000
2.215044,0.058000
2.232308,0.061000
2.249844,0.064000
2.267658,0.066000
2.285756,0.072000
2.304145,0.075000
2.322832,0.077000
2.341825,0.080000
2.361132,0.086000
2.380759,0.091000
2.400715,0.094000
2.421008,0.097000
2.441648,0.099000
2.462638,0.102000
2.483996,0.110000
2.505729,0.124000
2.527844,0.146000
2.550354,0.149000
2.573269,0.160000
2.596598,0.180000
2.620355,0.210000
2.644551,0.243000
2.669197,0.287000
2.694307,0.329000
2.719894,0.378000
2.745972,0.436000
2.772554,0.511000
2.799657,0.569000
2.827294,0.660000
2.855483,0.738000
2.884239,0.823000
2.913580,0.920000
2.943518,0.967000
2.974084,1.000000
3.005291,0.994000
3.037161,0.961000
3.069714,0.876000
3.102972,0.793000
3.136958,0.666000
3.171698,0.569000
3.207215,0.453000
3.243537,0.367000
3.280691,0.273000
3.318706,0.215000
3.357612,0.166000
3.397442,0.119000
3.438227,0.080000
3.480004,0.055000
3.522809,0.036000
3.566679,0.025000
3.611657,0.019000
3.657772,0.017000
3.705091,0.011000
3.753650,0.008000
3.803500,0.003000
3.854691,0.003000
3.907278,0.000000
3.961321,0.000000
4.016879,0.000000
4.074019,0.000000
4.132807,0.000000
