energy_eV,value
1.670946,1.790000
1.682643,1.790000
1.694505,1.790000
1.706535,1.790000
1.718737,1.790000
1.731113,1.790000
1.743670,1.790000
1.756411,1.790000
1.769340,1.790000
1.782460,1.790000
1.795777,1.790000
1.809294,1.790000
1.823016,1.790000
1.836947,1.790000
1.851093,1.790000
1.865456,1.790000
1.880047,1.790000
1.894867,1.790000
1.909923,1.790000
1.925220,1.790000
1.940765,1.790000
1.956562,1.790000
1.972618,1.790000
1.988941,1.790000
2.005532,1.790000
2.022406,1.790000
2.039566,1.790000
2.057020,1.790000
2.074775,1.790000
2.092839,1.790000
2.111221,1.790000
2.129928,1.790000
2.148970,1.790000
2.168356,1.790000
2.188090,1.790000
2.208191,1.790000
2.228665,1.790000
2.249522,1.790000
2.270773,1.790000
2.292429,1.790000
2.314503,1.790000
2.337005,1.790000
2.359950,1.790000
2.383344,1.790000
2.407212,1.790000
2.431563,1.790000
2.456412,1.790000
2.481774,1.790000
2.507664,1.790000
2.534101,1.790000
2.561101,1.790000
2.588683,1.790000
2.616865,1.790000
2.645662,1.790000
2.675106,1.790000
2.705212,1.790000
2.736004,1.790000
2.767504,1.790000
2.799739,1.790000
2.832733,1.790000
2.866514,1.790000
2.901111,1.790000
2.936546,1.790000
2.972864,1.790000
3.010092,1.790000
3.048265,1.790000
3.087417,1.790000
3.127589,1.790000
3.168820,1.790000
3.211152,1.790000
3.254631,1.790000
3.299304,1.790000
3.345210,1.790000
3.392422,1.790000
3.440985,1.790000
3.490959,1.790000
3.542406,1.790000
