energy_eV,value
2.222,1.700000
2.230,1.700000
2.238,1.700000
2.246,1.700000
2.255,1.700000
2.263,1.700000
2.271,1.700000
2.279,1.700000
2.288,1.700000
2.296,1.700000
2.305,1.700000
2.313,1.700000
2.322,1.700000
2.331,1.700000
2.340,1.700000
2.348,1.700000
2.357,1.700000
2.366,1.700000
2.375,1.700000
2.385,1.700000
2.394,1.700000
2.403,1.700000
2.412,1.700000
2.422,1.700000
2.431,1.700000
2.441,1.700000
2.451,1.700000
2.460,1.700000
2.470,1.700000
2.480,1.700000
2.490,1.700000
2.500,1.700000
2.510,1.700000
2.520,1.700000
2.531,1.700000
2.541,1.700000
2.551,1.700000
2.562,1.700000
2.573,1.700000
2.583,1.700000
2.594,1.700000
2.605,1.700000
2.616,1.700000
2.627,1.700000
2.638,1.700000
2.650,1.700000
2.661,1.700000
2.672,1.700000
2.684,1.700000
2.696,1.700000
2.707,1.700000
2.719,1.700000
2.731,1.700000
2.743,1.700000
2.756,1.700000
2.768,1.700000
2.780,1.700000
2.793,1.700000
2.805,1.700000
2.818,1.700000
2.831,1.700000
2.844,1.700000
2.857,1.700000
2.870,1.700000
2.884,1.700000
2.897,1.700000
2.911,1.700000
2.925,1.700000
2.938,1.700000
2.952,1.700000
2.967,1.700000
2.981,1.700000
2.995,1.700000
3.010,1.700000
3.024,1.700000
3.039,1.700000
3.054,1.700000
3.069,1.700000
3.085,1.700000
