energy_eV,value
1.670946,1000000.000000
1.682643,1000000.000000
1.694505,1000000.000000
1.706535,1000000.000000
1.718737,1000000.000000
1.731113,1000000.000000
1.743670,1000000.000000
1.756411,1000000.000000
1.769340,1000000.000000
1.782460,1000000.000000
1.795777,1000000.000000
1.809294,1000000.000000
1.823016,1000000.000000
1.836947,1000000.000000
1.851093,1000000.000000
1.865456,1000000.000000
1.880047,1000000.000000
1.894867,1000000.000000
1.909923,1000000.000000
1.925220,1000000.000000
1.940765,1000000.000000
1.956562,1000000.000000
1.972618,1000000.000000
1.988941,1000000.000000
2.005532,1000000.000000
2.022406,1000000.000000
2.039566,1000000.000000
2.057020,1000000.000000
2.074775,1000000.000000
2.092839,1000000.000000
2.111221,1000000.000000
2.129928,1000000.000000
2.148970,1000000.000000
2.168356,1000000.000000
2.188090,1000000.000000
2.208191,1000000.000000
2.228665,1000000.000000
2.249522,1000000.000000
2.270773,1000000.000000
2.292429,1000000.000000
2.314503,1000000.000000
2.337005,1000000.000000
2.359950,1000000.000000
2.383344,1000000.000000
2.407212,1000000.000000
2.431563,1000000.000000
2.456412,1000000.000000
2.481774,1000000.000000
2.507664,1000000.000000
2.534101,1000000.000000
2.561101,1000000.000000
2.588683,1000000.000000
2.616865,1000000.000000
2.645662,1000000.000000
2.675106,1000000.000000
2.705212,1000000.000000
2.736004,1000000.000000
2.767504,1000000.000000
2.799739,1000000.000000
2.832733,1000000.000000
2.866514,1000000.000000
2.901111,1000000.000000
2.936546,1000000.000000
2.972864,1000000.000000
3.010092,1000000.000000
3.048265,1000000.000000
3.087417,1000000.000000
3.127589,1000000.000000
3.168820,1000000.000000
3.211152,1000000.000000
3.254631,1000000.000000
3.299304,1000000.000000
3.345210,1000000.000000
3.392422,1000000.000000
3.440985,1000000.000000
3.490959,1000000.000000
3.542406,1000000.000000
