energy_eV,value
1.907449,1.850000
1.921059,1.850000
1.934868,1.850000
1.948873,1.850000
1.963083,1.850000
1.977501,1.850000
1.992136,1.850000
2.006986,1.850000
2.022060,1.850000
2.037361,1.850000
2.052899,1.850000
2.068672,1.850000
2.084690,1.850000
2.100957,1.850000
2.117484,1.850000
2.134270,1.850000
2.151323,1.850000
2.168652,1.850000
2.186265,1.850000
2.204164,1.850000
2.222357,1.850000
2.240858,1.850000
2.259665,1.850000
2.278790,1.850000
2.298242,1.850000
2.318034,1.850000
2.338164,1.850000
2.358648,1.850000
2.379493,1.850000
2.400715,1.850000
2.422314,1.850000
2.444305,1.850000
2.466699,1.850000
2.489513,1.850000
2.512747,1.850000
2.536419,1.850000
2.560541,1.850000
2.585131,1.850000
2.610194,1.850000
2.635747,1.850000
2.661810,1.850000
2.688389,1.850000
2.715504,1.850000
2.743171,1.850000
2.771414,1.850000
2.800238,1.850000
2.829669,1.850000
2.859724,1.850000
2.890432,1.850000
2.921799,1.850000
2.953854,1.850000
2.986621,1.850000
3.020130,1.850000
3.054392,1.850000
3.089441,1.850000
3.125303,1.850000
3.162015,1.850000
3.199592,1.850000
3.238073,1.850000
3.277499,1.850000
3.317889,1.850000
3.359286,1.850000
3.401730,1.850000
3.445269,1.850000
3.489927,1.850000
3.535758,1.850000
3.582810,1.850000
3.631140,1.850000
3.680782,1.850000
3.731800,1.850000
3.784252,1.850000
3.838211,1.850000
3.893719,1.850000
3.950857,1.850000
4.009696,1.850000
4.070327,1.850000
4.132807,1.850000
