energy_eV,value
1.907449,0.034000
1.921059,0.034000
1.934868,0.034000
1.948873,0.034000
1.963083,0.037000
1.977501,0.034000
1.992136,0.034000
2.006986,0.034000
2.022060,0.034000
2.037361,0.034000
2.052899,0.031000
2.068672,0.031000
2.084690,0.031000
2.100957,0.031000
2.117484,0.034000
2.134270,0.037000
2.151323,0.037000
2.168652,0.037000
2.186265,0.040000
2.204164,0.042000
2.222357,0.042000
2.240858,0.045000
2.259665,0.051000
2.278790,0.057000
2.298242,0.062000
2.318034,0.062000
2.338164,0.059000
2.358648,0.059000
2.379493,0.059000
2.400715,0.062000
2.422314,0.062000
2.444305,0.062000
2.466699,0.062000
2.489513,0.062000
2.512747,0.065000
2.536419,0.071000
2.560541,0.082000
2.585131,0.099000
2.610194,0.133000
2.635747,0.176000
2.661810,0.232000
2.688389,0.295000
2.715504,0.371000
2.743171,0.476000
2.771414,0.606000
2.800238,0.711000
2.829669,0.807000
2.859724,0.912000
2.890432,0.975000
2.921799,1.000000
2.953854,0.972000
2.986621,0.895000
3.020130,0.796000
3.054392,0.674000
3.089441,0.578000
3.125303,0.459000
3.162015,0.382000
3.199592,0.306000
3.238073,0.252000
3.277499,0.207000
3.317889,0.176000
3.359286,0.153000
3.401730,0.130000
3.445269,0.102000
3.489927,0.071000
3.535758,0.040000
3.582810,0.017000
3.631140,0.014000
3.680782,0.011000
3.731800,0.011000
3.784252,0.008000
3.838211,0.008000
3.893719,0.006000
3.950857,0.003000
4.009696,0.003000
4.070327,0.000000
4.132807,0.000000
