energy_MeV,relative_intensity
0.0250,0.461933
0.0750,0.472914
0.1250,0.554173
0.1750,0.554173
0.2250,0.576867
0.2750,0.584187
0.3250,0.650073
0.3750,0.650073
0.4250,0.657394
0.4750,0.657394
0.5250,0.655930
0.5750,0.647145
0.6250,0.639092
0.6750,0.628843
0.7250,0.658126
0.7750,0.658126
0.8250,0.623719
0.8750,0.606881
0.9250,0.606881
0.9750,0.593704
1.0250,0.570278
1.0750,0.562225
1.1250,0.548316
1.1750,0.548316
1.2250,0.537335
1.2750,0.536603
1.3250,0.530747
1.3750,0.530747
1.4250,0.532211
1.4750,0.532211
1.5250,0.504392
1.5750,0.498902
1.6250,0.493411
1.6750,0.492679
1.7250,0.500732
1.7750,0.527818
1.8250,0.578331
1.8750,0.587116
1.9250,0.606149
1.9750,0.610542
2.0250,0.627379
2.0750,0.631772
2.1250,0.652269
2.1750,0.652269
2.2250,0.663250
2.2750,0.651537
2.3250,0.651537
2.3750,0.651537
2.4250,0.635432
2.4750,0.631772
2.5250,0.630307
2.5750,0.630307
2.6250,0.644217
2.6750,0.647145
2.7250,0.647145
2.7750,0.661054
2.8250,0.689605
2.8750,0.717423
2.9250,0.764275
2.9750,0.798682
3.0250,0.846999
3.0750,0.901903
3.1250,0.942899
3.1750,0.967789
3.2250,1.000000
3.2750,0.995608
3.3250,0.989019
3.3750,0.966691
3.4250,0.944363
3.4750,0.868228
3.5250,0.849195
3.5750,0.825037
3.6250,0.809663
3.6750,0.801245
3.7250,0.785505
3.7750,0.770864
3.8250,0.767204
3.8750,0.757687
3.9250,0.755490
3.9750,0.750366
4.0250,0.750366
4.0750,0.744510
4.1250,0.743777
4.1750,0.743777
4.2250,0.744510
4.2750,0.731332
4.3250,0.730600
4.3750,0.730600
4.4250,0.741581
4.4750,0.741581
4.5250,0.744510
4.5750,0.748170
4.6250,0.756955
4.6750,0.763543
4.7250,0.772328
4.7750,0.783309
4.8250,0.794290
4.8750,0.809663
4.9250,0.832357
4.9750,0.837482
5.0250,0.821376
5.0750,0.803807
5.1250,0.795022
5.1750,0.780381
5.2250,0.770132
5.2750,0.754758
5.3250,0.734261
5.3750,0.720351
5.4250,0.710102
5.4750,0.704246
5.5250,0.704246
5.5750,0.715959
5.6250,0.720351
5.6750,0.724744
5.7250,0.717423
5.7750,0.704246
5.8250,0.685212
5.8750,0.655930
5.9250,0.615666
5.9750,0.576867
6.0250,0.549048
6.0750,0.521962
6.1250,0.497804
6.1750,0.471449
6.2250,0.445095
6.2750,0.414348
6.3250,0.376281
6.3750,0.342606
6.4250,0.341142
6.4750,0.341142
6.5250,0.341142
6.5750,0.379941
6.6250,0.397511
6.6750,0.397511
6.7250,0.382870
6.7750,0.368228
6.8250,0.352123
6.8750,0.338214
6.9250,0.329429
6.9750,0.322108
7.0250,0.318448
7.0750,0.314788
7.1250,0.311127
7.1750,0.303807
7.2250,0.298682
7.2750,0.297218
7.3250,0.297218
7.3750,0.302343
7.4250,0.309663
7.4750,0.318448
7.5250,0.328697
7.5750,0.337482
7.6250,0.339678
7.6750,0.333821
7.7250,0.324305
7.7750,0.316252
7.8250,0.309663
7.8750,0.304539
7.9250,0.302343
7.9750,0.296486
8.0250,0.291362
8.0750,0.284773
8.1250,0.278184
8.1750,0.270864
8.2250,0.261347
8.2750,0.253294
8.3250,0.243045
8.3750,0.235725
8.4250,0.228404
8.4750,0.220351
8.5250,0.213763
8.5750,0.205710
8.6250,0.199122
8.6750,0.191069
8.7250,0.185212
8.7750,0.178624
8.8250,0.174231
8.8750,0.169839
8.9250,0.168375
8.9750,0.168375
9.0250,0.169107
9.0750,0.172035
9.1250,0.173865
9.1750,0.175695
9.2250,0.181552
9.2750,0.184480
9.3250,0.184480
9.3750,0.183748
9.4250,0.183748
9.4750,0.180820
9.5250,0.177160
9.5750,0.173499
9.6250,0.166911
9.6750,0.162518
9.7250,0.157394
9.7750,0.153001
9.8250,0.147877
9.8750,0.143485
9.9250,0.139092
9.9750,0.135432
10.0250,0.131772
10.0750,0.128843
10.1250,0.125915
10.1750,0.125915
10.2250,0.125915
10.2750,0.130307
10.3250,0.129575
10.3750,0.122255
10.4250,0.109078
10.4750,0.096633
10.5250,0.084919
10.5750,0.074671
10.6250,0.066618
10.6750,0.059297
10.7250,0.051977
10.7750,0.044656
10.8250,0.036603
10.8750,0.027818
10.9250,0.018302
10.9750,0.009517
11.0250,0.002928
11.0750,0.000000
11.1250,0.000000
11.1750,0.000000
11.2250,0.000000
11.2750,0.000000
11.3250,0.000000
11.3750,0.000000
11.4250,0.000000
11.4750,0.000000
11.5250,0.000000
11.5750,0.000000
11.6250,0.000000
11.6750,0.000000
11.7250,0.000000
11.7750,0.000000
11.8250,0.000000
11.8750,0.000000
11.9250,0.000000
11.9750,0.000000
