energy_eV,value
1.907449,1000000.000000
1.921059,1000000.000000
1.934868,1000000.000000
1.948873,1000000.000000
1.963083,1000000.000000
1.977501,1000000.000000
1.992136,1000000.000000
2.006986,1000000.000000
2.022060,1000000.000000
2.037361,1000000.000000
2.052899,1000000.000000
2.068672,1000000.000000
2.084690,1000000.000000
2.100957,1000000.000000
2.117484,1000000.000000
2.134270,1000000.000000
2.151323,1000000.000000
2.168652,1000000.000000
2.186265,1000000.000000
2.204164,1000000.000000
2.222357,1000000.000000
2.240858,1000000.000000
2.259665,1000000.000000
2.278790,1000000.000000
2.298242,1000000.000000
2.318034,1000000.000000
2.338164,1000000.000000
2.358648,1000000.000000
2.379493,1000000.000000
2.400715,1000000.000000
2.422314,1000000.000000
2.444305,1000000.000000
2.466699,1000000.000000
2.489513,1000000.000000
2.512747,1000000.000000
2.536419,1000000.000000
2.560541,1000000.000000
2.585131,1000000.000000
2.610194,1000000.000000
2.635747,1000000.000000
2.661810,1000000.000000
2.688389,1000000.000000
2.715504,1000000.000000
2.743171,1000000.000000
2.771414,1000000.000000
2.800238,1000000.000000
2.829669,1000000.000000
2.859724,1000000.000000
2.890432,1000000.000000
2.921799,1000000.000000
2.953854,1000000.000000
2.986621,1000000.000000
3.020130,1000000.000000
3.054392,1000000.000000
3.089441,1000000.000000
3.125303,1000000.000000
3.162015,1000000.000000
3.199592,1000000.000000
3.238073,1000000.000000
3.277499,1000000.000000
3.317889,1000000.000000
3.359286,1000000.000000
3.401730,1000000.000000
3.445269,1000000.000000
3.489927,1000000.000000
3.535758,1000000.000000
3.582810,1000000.000000
3.631140,1000000.000000
3.680782,1000000.000000
3.731800,1000000.000000
3.784252,1000000.000000
3.838211,1000000.000000
3.893719,1000000.000000
3.950857,1000000.000000
4.009696,1000000.000000
4.070327,1000000.000000
4.132807,1000000.000000
