energy_eV,value
2.222,0.016000
2.230,0.016000
2.238,0.016000
2.246,0.016000
2.255,0.016000
2.263,0.016000
2.271,0.016000
2.279,0.016000
2.288,0.016000
2.296,0.016000
2.305,0.016000
2.313,0.016000
2.322,0.016000
2.331,0.016000
2.340,0.016000
2.348,0.016000
2.357,0.016000
2.366,0.016000
2.375,0.016000
2.385,0.016000
2.394,0.016000
2.403,0.016000
2.412,0.016000
2.422,0.016000
2.431,0.016000
2.441,0.016000
2.451,0.016000
2.460,0.016000
2.470,0.016000
2.480,0.016000
2.490,0.016000
2.500,0.016000
2.510,0.016000
2.520,0.016000
2.531,0.016000
2.541,0.016000
2.551,0.016000
2.562,0.016000
2.573,0.016000
2.583,0.016000
2.594,0.016000
2.605,0.016000
2.616,0.016000
2.627,0.016000
2.638,0.016000
2.650,0.016000
2.661,0.016000
2.672,0.016000
2.684,0.016000
2.696,0.016000
2.707,0.015000
2.719,0.015000
2.731,0.015000
2.743,0.015000
2.756,0.015000
2.768,0.015000
2.780,0.015000
2.793,0.015000
2.805,0.015000
2.818,0.015000
2.831,0.015000
2.844,0.015000
2.857,0.015000
2.870,0.015000
2.884,0.014000
2.897,0.014000
2.911,0.014000
2.925,0.014000
2.938,0.013000
2.952,0.013000
2.967,0.013000
2.981,0.012000
2.995,0.012000
3.010,0.011000
3.024,0.010000
3.039,0.010000
3.054,0.009000
3.069,0.009000
3.085,0.008000
