energy_eV,value
2.222,0.011000
2.230,0.011000
2.238,0.010000
2.246,0.010000
2.255,0.010000
2.263,0.011000
2.271,0.013000
2.279,0.015000
2.288,0.017000
2.296,0.020000
2.305,0.022000
2.313,0.025000
2.322,0.028000
2.331,0.031000
2.340,0.035000
2.348,0.039000
2.357,0.044000
2.366,0.050000
2.375,0.057000
2.385,0.064000
2.394,0.072000
2.403,0.080000
2.412,0.089000
2.422,0.099000
2.431,0.111000
2.441,0.124000
2.451,0.140000
2.460,0.159000
2.470,0.180000
2.480,0.203000
2.490,0.230000
2.500,0.259000
2.510,0.290000
2.520,0.323000
2.531,0.357000
2.541,0.392000
2.551,0.429000
2.562,0.468000
2.573,0.508000
2.583,0.548000
2.594,0.590000
2.605,0.633000
2.616,0.676000
2.627,0.721000
2.638,0.765000
2.650,0.809000
2.661,0.851000
2.672,0.890000
2.684,0.925000
2.696,0.956000
2.707,0.981000
2.719,0.998000
2.731,1.006000
2.743,1.006000
2.756,0.998000
2.768,0.982000
2.780,0.958000
2.793,0.927000
2.805,0.889000
2.818,0.843000
2.831,0.791000
2.844,0.735000
2.857,0.677000
2.870,0.616000
2.884,0.547000
2.897,0.469000
2.911,0.396000
2.925,0.326000
2.938,0.258000
2.952,0.203000
2.967,0.163000
2.981,0.131000
2.995,0.106000
3.010,0.085000
3.024,0.067000
3.039,0.052000
3.054,0.037000
3.069,0.023000
3.085,0.009000
