energy_eV,value
1.971132,1.840000
1.984792,1.840000
1.998643,1.840000
2.012688,1.840000
2.026932,1.840000
2.041379,1.840000
2.056034,1.840000
2.070901,1.840000
2.085984,1.840000
2.101288,1.840000
2.116815,1.840000
2.132577,1.840000
2.148576,1.840000
2.164816,1.840000
2.181303,1.840000
2.198044,1.840000
2.215044,1.840000
2.232308,1.840000
2.249844,1.840000
2.267658,1.840000
2.285756,1.840000
2.304145,1.840000
2.322832,1.840000
2.341825,1.840000
2.361132,1.840000
2.380759,1.840000
2.400715,1.840000
2.421008,1.840000
2.441648,1.840000
2.462638,1.840000
2.483996,1.840000
2.505729,1.840000
2.527844,1.840000
2.550354,1.840000
2.573269,1.840000
2.596598,1.840000
2.620355,1.840000
2.644551,1.840000
2.669197,1.840000
2.694307,1.840000
2.719894,1.840000
2.745972,1.840000
2.772554,1.840000
2.799657,1.840000
2.827294,1.840000
2.855483,1.840000
2.884239,1.840000
2.913580,1.840000
2.943518,1.840000
2.974084,1.840000
3.005291,1.840000
3.037161,1.840000
3.069714,1.840000
3.102972,1.840000
3.136958,1.840000
3.171698,1.840000
3.207215,1.840000
3.243537,1.840000
3.280691,1.840000
3.318706,1.840000
3.357612,1.840000
3.397442,1.840000
3.438227,1.840000
3.480004,1.840000
3.522809,1.840000
3.566679,1.840000
3.611657,1.840000
3.657772,1.840000
3.705091,1.840000
3.753650,1.840000
3.803500,1.840000
3.854691,1.840000
3.907278,1.840000
3.961321,1.840000
4.016879,1.840000
4.074019,1.840000
4.132807,1.840000
